intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.7.10,172.16.3.5,6,22,0,47044,1,2,52,104,0,0,1577189943.132266
172.16.7.10,172.16.3.6,6,40894,1,22,1,3,52,156,0,0,1577189943.133186
172.16.7.4,172.16.5.4,6,22,1,58434,8,6,592,456,0,5,1577189943.134944
172.16.7.10,172.16.6.9,6,22,0,58386,1,2,52,104,0,0,1577189943.136312
172.16.7.4,172.16.5.4,6,22,1,58436,8,6,592,456,0,5,1577189943.136822
172.16.7.10,172.16.4.14,6,45516,1,22,1,3,52,156,0,0,1577189943.141341
172.16.7.10,172.16.3.5,6,47046,1,22,1,3,52,156,0,0,1577189943.143342
172.16.7.10,172.16.5.8,6,22,0,33932,1,2,52,104,0,0,1577189943.147709
172.16.7.10,172.16.5.5,6,22,0,35078,1,2,52,104,0,0,1577189943.153027
172.16.7.10,172.16.4.14,6,22,0,45518,2,2,184,104,0,1,1577189943.1551
172.16.7.10,172.16.2.14,6,22,0,38582,1,2,52,104,0,0,1577189943.156722
172.16.7.10,172.16.3.6,6,40896,1,22,1,2,52,104,0,0,1577189943.160904
172.16.7.10,172.16.2.9,6,22,0,51048,1,2,52,104,0,0,1577189943.168594
172.16.7.10,172.16.1.13,6,22,0,33994,1,2,52,104,0,0,1577189943.169569
172.16.7.13,172.16.4.4,6,22,0,47636,12,13,2121,1636,1,11,1577189943.171536
172.16.7.13,172.16.4.4,6,22,0,47638,12,12,2121,1584,1,11,1577189943.172047
172.16.7.10,172.16.6.4,6,22,0,57002,1,2,52,104,0,0,1577189943.176216
172.16.7.10,172.16.6.9,6,22,0,58388,1,2,52,104,0,0,1577189943.177808
172.16.7.10,172.16.2.9,6,22,0,51050,1,2,52,104,0,0,1577189943.178255
172.16.7.10,172.16.4.11,6,22,0,35070,1,2,52,104,0,0,1577189943.183048
172.16.7.10,172.16.2.14,6,22,0,38584,1,2,52,104,0,0,1577189943.187457
172.16.7.13,172.16.4.14,6,22,0,39332,12,14,1770,1688,1,10,1577189943.199667
172.16.7.5,172.16.6.5,6,22,1,44090,7,6,540,456,0,5,1577189943.204831
172.16.7.6,172.16.4.8,6,22,1,53966,13,12,1636,1770,1,10,1577189943.208566
172.16.7.6,172.16.4.8,6,22,1,53968,13,12,1636,1762,1,10,1577189943.209778
172.16.7.13,172.16.4.14,6,22,0,39334,12,14,1770,1688,1,10,1577189943.210824
172.16.7.5,172.16.6.5,6,22,1,44088,7,6,540,456,0,5,1577189943.216743
172.16.7.13,172.16.4.11,6,22,0,34416,12,14,1770,1688,1,10,1577189943.247601
172.16.7.13,172.16.4.11,6,22,0,34418,12,14,1770,1688,1,10,1577189943.271741
172.16.7.13,172.16.6.13,6,22,0,35510,12,14,1770,1688,1,10,1577189943.294024
172.16.7.13,172.16.6.13,6,22,0,35512,12,14,1770,1688,1,10,1577189943.307673
172.16.7.13,172.16.4.9,6,22,0,44586,12,14,1770,1688,1,10,1577189943.331197
172.16.7.13,172.16.4.9,6,22,0,44588,12,12,1770,1584,1,10,1577189943.363793
172.16.7.13,172.16.1.3,6,22,0,47828,12,12,2121,1584,1,11,1577189943.392889
172.16.7.13,172.16.1.3,6,22,0,47830,12,12,2121,1584,1,11,1577189943.420063
172.16.7.13,172.16.1.13,6,22,0,40306,12,12,1770,1584,1,10,1577189943.438305
172.16.7.13,172.16.1.13,6,22,0,40308,12,14,1770,1688,1,10,1577189943.454486
172.16.7.13,172.16.6.9,6,22,0,33476,12,14,1770,1688,1,10,1577189943.466401
172.16.7.13,172.16.6.9,6,22,0,33478,12,14,1770,1688,1,10,1577189943.477853
172.16.7.2,138.150.117.63,6,151,1,21245,1,1,40,40,1,0,1577189943.487795
172.16.7.13,172.16.5.5,6,22,0,50560,12,14,1762,1688,1,10,1577189943.488973
172.16.7.13,172.16.5.5,6,22,0,50562,12,12,1770,1584,1,10,1577189943.496506
172.16.7.12,90.220.231.214,6,8686,1,10037,1,1,40,40,1,0,1577189943.510156
172.16.7.13,172.16.4.5,6,22,0,34806,12,14,1770,1688,1,10,1577189943.516844
172.16.7.13,172.16.4.5,6,22,0,34808,12,14,1770,1688,1,10,1577189943.533596
172.16.7.13,172.16.1.8,6,22,0,59304,12,11,1770,1532,1,10,1577189943.562839
172.16.7.13,172.16.1.8,6,22,0,59306,12,11,1770,1532,1,10,1577189943.5658
172.16.7.4,172.16.3.14,6,22,1,36156,14,12,1688,1770,1,10,1577189943.732687
172.16.7.4,172.16.3.14,6,22,1,36158,12,12,1584,1770,1,10,1577189943.734501
172.16.7.11,172.16.3.73,6,22,0,53214,0,1,0,40,1,0,1577189943.77784
172.16.7.11,172.16.2.117,6,22,0,56565,0,1,0,40,1,0,1577189943.778918
172.16.7.11,172.16.3.193,6,22,0,48627,0,1,0,40,1,0,1577189943.781014
172.16.7.5,172.16.3.14,6,22,1,47210,12,12,1584,1770,1,10,1577189943.875024
172.16.7.5,172.16.3.14,6,22,1,47212,12,12,1584,1770,1,10,1577189943.902707
172.16.7.7,172.16.5.221,6,22,0,64030,0,1,0,40,1,0,1577189944.003877
172.16.7.7,172.16.7.203,6,22,0,30982,0,1,0,40,1,0,1577189944.005257
172.16.7.7,172.16.2.11,6,22,0,29793,0,1,0,40,1,0,1577189944.009899
172.16.7.7,172.16.1.28,6,22,0,1816,0,1,0,40,1,0,1577189944.012117
172.16.7.11,172.16.6.4,6,22,0,51194,11,12,1718,1584,1,10,1577189944.039369
172.16.7.11,172.16.6.4,6,22,0,51196,11,12,1718,1584,1,10,1577189944.039919
172.16.7.11,172.16.1.4,6,22,0,33398,12,12,1770,1584,1,10,1577189944.055514
172.16.7.11,172.16.1.4,6,22,0,33400,11,12,1718,1584,1,10,1577189944.062841
172.16.7.11,172.16.5.3,6,22,0,50454,11,13,1718,1636,1,10,1577189944.094166
172.16.7.11,172.16.5.3,6,22,0,50456,12,13,1770,1636,1,10,1577189944.102858
