intIP,extIP,proto,dport,dir,sport,incount,outcount,insize,outsize,scount,pcount,time
172.16.3.6,192.168.1.40,6,22,1,33392,3,2,156,184,0,1,1578123503.420092
172.16.3.12,172.16.5.8,6,22,0,34002,2,2,184,104,0,1,1578123503.426909
172.16.3.6,192.168.1.40,6,22,1,33390,3,1,156,52,0,0,1578123503.441652
172.16.3.4,192.168.1.40,6,22,1,38060,3,2,156,184,0,1,1578123503.480337
172.16.3.4,192.168.1.40,6,22,1,38062,3,2,156,184,0,1,1578123503.49668
172.16.3.4,172.16.5.4,6,22,1,59078,3,2,156,184,0,1,1578123503.556657
172.16.3.5,172.16.5.4,6,22,1,60990,3,2,156,184,0,1,1578123503.563712
172.16.3.4,172.16.5.4,6,22,1,59080,3,2,156,184,0,1,1578123503.577266
172.16.3.5,172.16.5.4,6,22,1,60992,3,2,156,184,0,1,1578123503.632829
172.16.3.12,172.16.5.37,6,22,0,58276,0,1,0,40,1,0,1578123503.722654
172.16.3.12,172.16.6.200,6,22,0,20206,0,1,0,40,1,0,1578123503.724094
172.16.3.12,172.16.5.44,6,22,0,11300,0,1,0,40,1,0,1578123503.727427
172.16.3.12,172.16.6.238,6,22,0,12491,0,1,0,40,1,0,1578123503.730474
172.16.3.12,172.16.6.132,6,22,0,28783,0,1,0,40,1,0,1578123503.732123
172.16.3.4,244.241.184.51,6,4781,1,38245,1,1,40,40,1,0,1578123503.971222
172.16.3.5,192.168.1.45,6,22,1,59690,12,12,1760,1738,1,10,1578123504.348821
172.16.3.5,192.168.1.45,6,22,1,59692,12,12,1760,1738,1,10,1578123504.377629
172.16.3.5,172.16.7.9,6,22,1,50666,14,12,1688,1770,1,10,1578123504.391773
172.16.3.5,172.16.7.9,6,22,1,50668,14,12,1688,1770,1,10,1578123504.392337
172.16.3.6,172.16.7.9,6,22,1,47928,14,12,1688,1770,1,10,1578123504.401672
172.16.3.6,172.16.7.9,6,22,1,47930,14,12,1688,1770,1,10,1578123504.405378
172.16.3.6,192.168.1.45,6,22,1,48192,12,12,1760,1738,1,10,1578123504.406691
172.16.3.6,192.168.1.45,6,22,1,48194,13,12,1812,1730,1,10,1578123504.437198
172.16.3.6,172.16.4.8,6,22,1,51556,14,12,1688,1770,1,10,1578123504.858137
172.16.3.6,172.16.4.8,6,22,1,51558,14,12,1688,1770,1,10,1578123504.859849
172.16.3.5,172.16.4.8,6,22,1,45878,14,12,1688,1770,1,10,1578123504.866451
172.16.3.5,172.16.4.8,6,22,1,45880,14,12,1688,1770,1,10,1578123504.867824
172.16.3.6,172.16.1.11,6,22,1,40822,13,12,1636,1770,1,10,1578123504.955197
172.16.3.6,172.16.1.11,6,22,1,40824,13,12,1636,1770,1,10,1578123504.955651
172.16.3.4,172.16.1.11,6,22,1,34428,13,12,1636,1770,1,10,1578123504.969687
172.16.3.4,172.16.1.11,6,22,1,34430,13,12,1636,1770,1,10,1578123504.971321
172.16.3.14,172.16.6.128,6,22,0,55212,0,1,0,40,1,0,1578123505.176855
172.16.3.14,172.16.6.101,6,22,0,43394,0,1,0,40,1,0,1578123505.17918
172.16.3.14,172.16.2.236,6,22,0,8112,0,1,0,40,1,0,1578123505.181638
172.16.3.7,172.16.1.13,6,22,0,38222,12,12,1770,1488,1,9,1578123505.263383
172.16.3.7,172.16.1.13,6,22,0,38224,12,14,1770,1688,1,10,1578123505.263716
172.16.3.7,172.16.2.13,6,22,0,38970,12,14,1770,1688,1,10,1578123505.264067
172.16.3.7,172.16.2.13,6,22,0,38972,12,14,1770,1688,1,10,1578123505.26597
172.16.3.7,172.16.2.14,6,22,0,49848,12,14,1770,1688,1,10,1578123505.274727
172.16.3.7,172.16.2.14,6,22,0,49850,12,14,1770,1688,1,10,1578123505.275741
172.16.3.7,172.16.4.5,6,22,0,49450,11,14,1718,1688,1,10,1578123505.278655
172.16.3.7,172.16.4.5,6,22,0,49452,11,14,1718,1688,1,10,1578123505.280976
172.16.3.7,172.16.5.9,6,22,0,56430,12,14,1770,1688,1,10,1578123505.281363
172.16.3.7,172.16.5.9,6,22,0,56432,12,14,1770,1688,1,10,1578123505.28222
172.16.3.7,172.16.1.4,6,22,0,48646,12,14,1770,1688,1,10,1578123505.283973
172.16.3.7,172.16.1.4,6,22,0,48648,12,14,1770,1688,1,10,1578123505.286197
172.16.3.7,172.16.1.12,6,22,0,54614,11,12,1718,832,1,8,1578123505.287795
172.16.3.7,172.16.1.12,6,22,0,54616,9,11,1614,780,1,8,1578123505.289323
172.16.3.7,172.16.5.8,6,22,0,39772,8,9,1008,652,1,6,1578123505.290921
172.16.3.7,172.16.5.8,6,39774,1,22,8,9,1554,724,0,8,1578123505.29327
172.16.3.7,172.16.5.5,6,50844,1,22,8,8,1008,592,0,6,1578123505.297705
172.16.3.7,172.16.5.5,6,50846,1,22,10,10,1658,1448,0,9,1578123505.302278
172.16.3.7,22.159.151.164,6,1757,1,56476,1,1,40,40,1,0,1578123505.343446
172.16.3.4,166.11.247.220,6,2630,1,55892,1,1,40,40,1,0,1578123505.45095
172.16.3.10,172.16.7.7,6,22,1,48542,14,12,1688,1770,1,10,1578123505.474574
172.16.3.5,124.118.102.249,6,7685,1,19561,1,1,40,40,1,0,1578123505.481113
172.16.3.7,172.16.2.195,6,22,0,26164,0,1,0,40,1,0,1578123505.483397
172.16.3.7,172.16.1.131,6,22,0,16918,0,1,0,40,1,0,1578123505.490481
172.16.3.10,172.16.7.7,6,22,1,48544,14,12,1688,1770,1,10,1578123505.495092
172.16.3.7,172.16.2.154,6,22,0,10267,0,1,0,40,1,0,1578123505.502991
172.16.3.7,172.16.1.44,6,22,0,29099,0,1,0,40,1,0,1578123505.512051
172.16.3.7,172.16.7.13,6,22,0,13301,1,1,40,40,1,0,1578123505.526604
172.16.3.10,172.16.7.11,6,22,1,56096,13,12,1636,1762,1,10,1578123505.877031
172.16.3.10,172.16.7.11,6,22,1,56098,13,12,1636,1770,1,10,1578123505.878973
172.16.3.5,172.16.7.11,6,22,1,37604,13,12,1636,1770,1,10,1578123505.886273
172.16.3.5,172.16.7.11,6,22,1,37606,13,12,1636,1770,1,10,1578123505.890632
172.16.3.4,4.134.57.65,6,789,1,11250,1,1,40,40,1,0,1578123506.566842
172.16.3.12,56.51.211.246,6,2277,1,43691,1,1,40,40,1,0,1578123506.581109
172.16.3.6,36.50.162.223,6,3383,1,46326,1,1,40,40,1,0,1578123506.616651
172.16.3.10,138.10.180.63,6,1709,1,17955,1,1,40,40,1,0,1578123506.690191
172.16.3.5,172.16.7.12,6,22,1,43470,14,12,1688,1770,1,10,1578123507.263485
172.16.3.5,172.16.7.12,6,22,1,43472,14,12,1688,1770,1,10,1578123507.277077
172.16.3.10,172.16.7.12,6,22,1,47000,14,12,1688,1770,1,10,1578123507.409889
172.16.3.10,172.16.7.12,6,22,1,47002,14,12,1688,1770,1,10,1578123507.452274
172.16.3.4,172.16.7.12,6,22,1,33972,14,12,1688,1770,1,10,1578123507.537489
172.16.3.4,172.16.7.12,6,22,1,33974,14,12,1688,1770,1,10,1578123507.551413
172.16.3.10,172.16.4.12,6,22,1,43440,12,12,1584,1770,1,10,1578123507.796317
172.16.3.10,172.16.4.12,6,22,1,43442,12,12,1584,1770,1,10,1578123507.799838
172.16.3.5,149.255.189.83,6,1276,1,4321,1,1,40,40,1,0,1578123507.879768
172.16.3.4,192.168.1.18,6,22,1,34012,12,12,1760,1738,1,10,1578123508.197475
172.16.3.4,192.168.1.18,6,22,1,34014,12,12,1760,1738,1,10,1578123508.22566
172.16.3.5,172.16.5.14,6,22,1,49758,14,12,1688,1770,1,10,1578123508.667156
172.16.3.5,172.16.5.14,6,22,1,49760,14,12,1688,1770,1,10,1578123508.688784
172.16.3.14,172.16.2.13,6,22,0,54712,12,14,1770,1688,1,10,1578123508.786497
172.16.3.14,172.16.2.13,6,22,0,54714,12,14,1770,1688,1,10,1578123508.786714
172.16.3.14,172.16.4.4,6,22,0,36498,12,13,2121,1636,1,11,1578123508.786997
172.16.3.14,172.16.4.4,6,22,0,36500,12,13,2121,1636,1,11,1578123508.78723
172.16.3.14,172.16.2.12,6,22,0,46640,12,14,1770,1688,1,10,1578123508.792862
172.16.3.14,172.16.2.12,6,22,0,46642,12,14,1770,1688,1,10,1578123508.796329
172.16.3.14,172.16.4.9,6,22,0,53444,12,14,1770,1688,1,10,1578123508.800551
172.16.3.14,172.16.4.9,6,22,0,53446,12,14,1770,1688,1,10,1578123508.801883
172.16.3.14,172.16.4.14,6,22,0,54516,12,14,1770,1688,1,10,1578123508.803437
172.16.3.14,172.16.4.14,6,22,0,54518,12,14,1770,1688,1,10,1578123508.805159
172.16.3.14,172.16.1.8,6,22,0,48930,12,14,1762,1688,1,10,1578123508.813013
172.16.3.14,172.16.1.8,6,22,0,48932,12,14,1770,1688,1,10,1578123508.815012
172.16.3.14,172.16.1.3,6,22,0,45706,12,14,2121,1688,1,11,1578123508.816224
172.16.3.14,172.16.1.3,6,22,0,45708,12,14,2121,1688,1,11,1578123508.818825
172.16.3.14,172.16.5.3,6,22,0,34872,12,14,1770,1688,1,10,1578123508.822166
172.16.3.14,172.16.5.3,6,22,0,34874,12,12,1770,1584,1,10,1578123508.82341
172.16.3.10,172.16.4.13,6,22,1,60540,14,12,1688,1770,1,10,1578123508.954556
172.16.3.10,172.16.4.13,6,22,1,60542,14,12,1688,1770,1,10,1578123508.958228
172.16.3.5,172.16.5.12,6,22,1,37808,14,12,1688,1770,1,10,1578123509.125287
172.16.3.5,172.16.5.12,6,22,1,37810,12,12,1584,1770,1,10,1578123509.152523
172.16.3.2,191.76.248.1,6,3433,1,41735,1,1,40,40,1,0,1578123509.202784
172.16.3.6,172.16.2.6,6,22,1,48318,14,12,1688,1770,1,10,1578123509.941742
172.16.3.6,172.16.2.6,6,22,1,48320,14,12,1688,1770,1,10,1578123509.979039
172.16.3.4,172.16.2.6,6,22,1,50454,13,12,1636,1770,1,10,1578123509.995484
172.16.3.4,172.16.2.6,6,22,1,50456,13,12,1636,1770,1,10,1578123510.009779
172.16.3.12,172.19.75.109,6,39870,1,4567,4,4,220,228,0,4,1578123510.177249
172.16.3.14,172.19.75.109,6,43672,1,4567,3,4,168,228,0,4,1578123510.274013
172.16.3.6,10.158.231.219,6,161,1,31708,1,1,40,40,1,0,1578123510.544455
172.16.3.6,172.16.2.8,6,22,1,48128,11,12,1532,1770,1,10,1578123510.599156
172.16.3.6,172.16.2.8,6,22,1,48130,11,12,1532,1770,1,10,1578123510.605068
172.16.3.12,172.16.1.80,6,22,0,48209,0,1,0,40,1,0,1578123510.745537
172.16.3.12,172.16.6.228,6,22,0,8592,0,1,0,40,1,0,1578123510.745578
172.16.3.12,172.16.5.95,6,22,0,17002,0,1,0,40,1,0,1578123510.747185
172.16.3.5,172.16.6.10,6,22,1,46598,14,12,1688,1770,1,10,1578123511.226052
172.16.3.5,172.16.6.10,6,22,1,46600,14,12,1688,1770,1,10,1578123511.226567
172.16.3.6,172.16.6.5,6,22,1,35914,12,12,1584,1770,1,10,1578123511.563728
172.16.3.6,172.16.6.5,6,22,1,35916,12,12,1584,1770,1,10,1578123511.591698
172.16.3.4,122.235.250.108,6,8534,1,20606,1,1,40,40,1,0,1578123511.72323
172.16.3.14,193.66.14.149,6,5779,1,10383,1,1,40,40,1,0,1578123511.818487
172.16.3.10,172.16.7.10,6,22,1,35740,11,12,1532,1770,1,10,1578123511.823873
172.16.3.10,172.16.7.10,6,22,1,35742,14,12,1688,1762,1,10,1578123511.825119
172.16.3.10,172.16.1.10,6,22,1,34344,14,12,1688,1770,1,10,1578123511.844353
172.16.3.10,172.16.1.10,6,22,1,34346,14,12,1688,1770,1,10,1578123511.844903
172.16.3.7,172.19.75.109,6,51558,1,4567,4,4,220,228,0,4,1578123511.975456
172.16.3.6,172.16.6.3,6,22,1,55432,13,12,1636,1770,1,10,1578123512.134083
172.16.3.6,172.16.6.3,6,22,1,55434,11,12,1532,1770,1,10,1578123512.142925
172.16.3.4,172.16.1.14,6,22,1,37698,14,12,1688,1770,1,10,1578123512.169897
172.16.3.4,172.16.1.14,6,22,1,37700,14,12,1688,1770,1,10,1578123512.171633
172.16.3.5,172.16.1.14,6,22,1,36292,14,12,1688,1770,1,10,1578123512.191735
172.16.3.14,172.16.5.247,6,22,0,21479,0,1,0,40,1,0,1578123512.191972
172.16.3.5,172.16.1.14,6,22,1,36294,14,12,1688,1770,1,10,1578123512.193793
